"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "4.16 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "4.16 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "4.16 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "4.16 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "4.16 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
1791, 2420.47, 592.215, 3356.23, 3549.99, 2376.3, 1307.45, 3273, 3735.69, 95.826, 0, 97.9552, 0, 44.1149, 88.0493, 83.2662, 166.882, 44.1149, 88.0493, 0, 0, 83.2662, 0, 44.1149, 1.7885E-005, 41.1322, 1.41268, 42.5449, 1.57003, 0, 0, 0, 0, 44.1149, 0, 0, 0, 0, 0, 0, 44.1149, 0, 0, 0, 0, 0, 0, 1.7885E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2376.3, 0, 0, 0, 0, 0, 0
1792, 2396.99, 577.425, 3356.23, 3549.99, 2353.65, 1295.01, 3273, 3735.69, 70.2971, 0, 71.1114, 0, 43.2874, 86.384, 83.2662, 166.882, 43.2874, 86.384, 0, 0, 83.2662, 0, 43.2874, 1.76078E-005, 40.3631, 1.3841, 41.7472, 1.54025, 0, 0, 0, 0, 43.2874, 0, 0, 0, 0, 0, 0, 43.2874, 0, 0, 0, 0, 0, 0, 1.76078E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2353.65, 0, 0, 0, 0, 0, 0
1793, 2407.29, 583.911, 3356.23, 3549.99, 2363.67, 1300.46, 3273, 3735.69, 81.45, 0, 82.7747, 0, 43.6484, 87.1101, 83.2662, 166.882, 43.6484, 87.1101, 0, 0, 83.2662, 0, 43.6484, 1.77324E-005, 40.6989, 1.39628, 42.0952, 1.55322, 0, 0, 0, 0, 43.6484, 0, 0, 0, 0, 0, 0, 43.6484, 0, 0, 0, 0, 0, 0, 1.77324E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2363.67, 0, 0, 0, 0, 0, 0
1794, 2470.08, 623.51, 3356.23, 3549.99, 2424.19, 1333.7, 3273, 3735.69, 149.662, 0, 156.356, 0, 45.8965, 91.6348, 83.2662, 166.882, 45.8965, 91.6348, 0, 0, 83.2662, 0, 45.8965, 1.84924E-005, 42.7888, 1.47376, 44.2626, 1.63393, 0, 0, 0, 0, 45.8965, 0, 0, 0, 0, 0, 0, 45.8965, 0, 0, 0, 0, 0, 0, 1.84924E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2424.19, 0, 0, 0, 0, 0, 0
1795, 2776.25, 796.753, 3356.23, 3549.99, 2719.1, 1496.22, 3273, 3735.69, 462.308, 0, 543.254, 0, 57.1698, 114.335, 83.2662, 166.882, 57.1698, 114.335, 0, 0, 83.2662, 0, 57.1698, 2.25295E-005, 53.2875, 1.86117, 55.1487, 2.02108, 0, 0, 0, 0, 57.1698, 0, 0, 0, 0, 0, 0, 57.1698, 0, 0, 0, 0, 0, 0, 2.25295E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2719.1, 0, 0, 0, 0, 0, 0
1796, 2903.1, 878.057, 3356.23, 3549.99, 2840.55, 1562.87, 3273, 3735.69, 598.605, 0, 737.848, 0, 62.5778, 125.225, 83.2662, 166.882, 62.5778, 125.225, 0, 0, 83.2662, 0, 62.5778, 2.44502E-005, 58.3244, 2.04389, 60.3683, 2.20952, 0, 0, 0, 0, 62.5778, 0, 0, 0, 0, 0, 0, 62.5778, 0, 0, 0, 0, 0, 0, 2.44502E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2840.55, 0, 0, 0, 0, 0, 0
1797, 2747.99, 778.696, 3356.23, 3549.99, 2691.96, 1481.35, 3273, 3735.69, 431.861, 0, 501.936, 0, 56.0063, 111.992, 83.2662, 166.882, 56.0063, 111.992, 0, 0, 83.2662, 0, 56.0063, 2.21161E-005, 52.2041, 1.82177, 54.0259, 1.98039, 0, 0, 0, 0, 56.0063, 0, 0, 0, 0, 0, 0, 56.0063, 0, 0, 0, 0, 0, 0, 2.21161E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2691.96, 0, 0, 0, 0, 0, 0
1798, 2533.58, 645.826, 3356.23, 3549.99, 2485.91, 1368.19, 3273, 3735.69, 201.241, 0, 214.492, 0, 47.6821, 95.2288, 83.2662, 166.882, 47.6821, 95.2288, 0, 0, 83.2662, 0, 47.6821, 1.91774E-005, 44.4281, 1.56305, 45.9912, 1.6909, 0, 0, 0, 0, 47.6821, 0, 0, 0, 0, 0, 0, 47.6821, 0, 0, 0, 0, 0, 0, 1.91774E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2485.91, 0, 0, 0, 0, 0, 0
1799, 2193.68, 445.886, 3356.23, 3549.99, 2157.53, 1187.69, 3273, 3735.69, 0, 0, 0, 0, 36.1689, 72.0466, 83.2662, 166.882, 36.1689, 72.0466, 0, 0, 83.2662, 0, 36.1689, 1.51645E-005, 33.7337, 1.14859, 34.8823, 1.28662, 0, 0, 0, 0, 36.1689, 0, 0, 0, 0, 0, 0, 36.1689, 0, 0, 0, 0, 0, 0, 1.51645E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2157.53, 0, 0, 0, 0, 0, 0
1800, 1852.1, 251.785, 3356.23, 3549.99, 1825.19, 1004.61, 3273, 3735.69, 0, 0, 0, 0, 26.903, 53.4142, 83.2662, 166.882, 26.903, 53.4142, 0, 0, 83.2662, 0, 26.9029, 1.21633E-005, 25.16, 0.798534, 25.9586, 0.944362, 0, 0, 0, 0, 26.903, 0, 0, 0, 0, 0, 0, 26.9029, 0, 0, 0, 0, 0, 0, 1.21633E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1825.19, 0, 0, 0, 0, 0, 0
1801, 1641.23, 122.691, 3356.23, 3549.99, 1619.19, 891.394, 3273, 3735.69, 0, 0, 0, 0, 22.0268, 43.6139, 83.2662, 166.882, 22.0268, 43.6139, 0, 0, 83.2662, 0, 22.0268, 1.07576E-005, 20.6534, 0.619958, 21.2734, 0.753419, 0, 0, 0, 0, 22.0268, 0, 0, 0, 0, 0, 0, 22.0268, 0, 0, 0, 0, 0, 0, 1.07576E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1619.19, 0, 0, 0, 0, 0, 0
1802, 1536.5, 59.0023, 3356.23, 3549.99, 1516.59, 834.982, 3273, 3735.69, 0, 0, 0, 0, 19.906, 39.3528, 83.2662, 166.882, 19.906, 39.3528, 0, 0, 83.2662, 0, 19.9059, 1.01928E-005, 18.6982, 0.540011, 19.2382, 0.667759, 0, 0, 0, 0, 19.906, 0, 0, 0, 0, 0, 0, 19.9059, 0, 0, 0, 0, 0, 0, 1.01928E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1516.59, 0, 0, 0, 0, 0, 0
1803, 1498.83, 46.5665, 3356.23, 3549.99, 1479.53, 814.312, 3273, 3735.69, 0, 0, 0, 0, 19.3001, 38.1455, 83.2662, 166.882, 19.3001, 38.1455, 0, 0, 83.2662, 0, 19.3001, 9.98256E-006, 18.1357, 0.519316, 18.655, 0.645071, 0, 0, 0, 0, 19.3001, 0, 0, 0, 0, 0, 0, 19.3001, 0, 0, 0, 0, 0, 0, 9.98256E-006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1479.53, 0, 0, 0, 0, 0, 0
1804, 1481.87, 36.2889, 3356.23, 3549.99, 1462.87, 805.164, 3273, 3735.69, 0, 0, 0, 0, 18.9813, 37.5052, 83.2662, 166.882, 18.9813, 37.5052, 0, 0, 83.2662, 0, 18.9813, 9.90033E-006, 17.8422, 0.507145, 18.3493, 0.631946, 0, 0, 0, 0, 18.9813, 0, 0, 0, 0, 0, 0, 18.9813, 0, 0, 0, 0, 0, 0, 9.90033E-006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1462.87, 0, 0, 0, 0, 0, 0
1805, 1523.38, 61.4586, 3356.23, 3549.99, 1503.65, 827.545, 3273, 3735.69, 0, 0, 0, 0, 19.7709, 39.0912, 83.2662, 166.882, 19.7709, 39.0912, 0, 0, 83.2662, 0, 19.7708, 1.01104E-005, 18.5693, 0.537209, 19.1065, 0.664348, 0, 0, 0, 0, 19.7709, 0, 0, 0, 0, 0, 0, 19.7708, 0, 0, 0, 0, 0, 0, 1.01104E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1503.65, 0, 0, 0, 0, 0, 0
1806, 1691.03, 163.541, 3356.23, 3549.99, 1667.75, 917.745, 3273, 3735.69, 0, 0, 0, 0, 23.283, 46.1494, 83.2662, 166.882, 23.283, 46.1494, 0, 0, 83.2662, 0, 23.283, 1.10692E-005, 21.8088, 0.669198, 22.478, 0.805019, 0, 0, 0, 0, 23.283, 0, 0, 0, 0, 0, 0, 23.283, 0, 0, 0, 0, 0, 0, 1.10692E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1667.75, 0, 0, 0, 0, 0, 0
1807, 2017.57, 354.538, 3356.23, 3549.99, 1985.93, 1092.6, 3273, 3735.69, 0, 0, 0, 0, 31.6422, 62.9705, 83.2662, 166.882, 31.6422, 62.9705, 0, 0, 83.2662, 0, 31.6422, 1.37282E-005, 29.5523, 0.97158, 30.5239, 1.11833, 0, 0, 0, 0, 31.6422, 0, 0, 0, 0, 0, 0, 31.6422, 0, 0, 0, 0, 0, 0, 1.37282E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1985.93, 0, 0, 0, 0, 0, 0
1808, 2281.35, 501.451, 3356.23, 3549.99, 2241.98, 1233.72, 3273, 3735.69, 0, 0, 0, 0, 39.376, 78.5306, 83.2662, 166.882, 39.376, 78.5306, 0, 0, 83.2662, 0, 39.376, 1.63314E-005, 36.7117, 1.26721, 37.9789, 1.39712, 0, 0, 0, 0, 39.376, 0, 0, 0, 0, 0, 0, 39.376, 0, 0, 0, 0, 0, 0, 1.63314E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2241.98, 0, 0, 0, 0, 0, 0
1809, 2326.74, 529.924, 3356.23, 3549.99, 2285.96, 1257.82, 3273, 3735.69, 0, 0, 0, 0, 40.8846, 81.5661, 83.2662, 166.882, 40.8846, 81.5661, 0, 0, 83.2662, 0, 40.8846, 1.68297E-005, 38.1131, 1.31968, 39.4327, 1.45186, 0, 0, 0, 0, 40.8846, 0, 0, 0, 0, 0, 0, 40.8846, 0, 0, 0, 0, 0, 0, 1.68297E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2285.96, 0, 0, 0, 0, 0, 0
1810, 2364.83, 553.852, 3356.23, 3549.99, 2322.73, 1278.02, 3273, 3735.69, 34.7069, 0, 34.5969, 0, 42.1808, 84.1748, 83.2662, 166.882, 42.1808, 84.1748, 0, 0, 83.2662, 0, 42.1808, 1.72628E-005, 39.317, 1.365, 40.682, 1.49876, 0, 0, 0, 0, 42.1808, 0, 0, 0, 0, 0, 0, 42.1808, 0, 0, 0, 0, 0, 0, 1.72628E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2322.73, 0, 0, 0, 0, 0, 0
1811, 2399.2, 575.477, 3356.23, 3549.99, 2355.9, 1296.23, 3273, 3735.69, 72.1087, 0, 73.0015, 0, 43.3737, 86.5758, 83.2662, 166.882, 43.3737, 86.5758, 0, 0, 83.2662, 0, 43.3737, 1.76679E-005, 40.4254, 1.40657, 41.8319, 1.54178, 0, 0, 0, 0, 43.3737, 0, 0, 0, 0, 0, 0, 43.3737, 0, 0, 0, 0, 0, 0, 1.76679E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2355.9, 0, 0, 0, 0, 0, 0
1812, 2407.66, 580.808, 3356.23, 3549.99, 2364.01, 1300.72, 3273, 3735.69, 81.3455, 0, 82.6635, 0, 43.6714, 87.175, 83.2662, 166.882, 43.6714, 87.175, 0, 0, 83.2662, 0, 43.6714, 1.77673E-005, 40.7017, 1.41714, 42.1189, 1.55252, 0, 0, 0, 0, 43.6714, 0, 0, 0, 0, 0, 0, 43.6714, 0, 0, 0, 0, 0, 0, 1.77673E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2364.01, 0, 0, 0, 0, 0, 0
1813, 2401.51, 576.937, 3356.23, 3549.99, 2358.04, 1297.47, 3273, 3735.69, 74.6806, 0, 75.6823, 0, 43.4557, 86.7411, 83.2662, 166.882, 43.4557, 86.7411, 0, 0, 83.2662, 0, 43.4557, 1.76924E-005, 40.5012, 1.40976, 41.9109, 1.54477, 0, 0, 0, 0, 43.4557, 0, 0, 0, 0, 0, 0, 43.4557, 0, 0, 0, 0, 0, 0, 1.76924E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2358.04, 0, 0, 0, 0, 0, 0
1814, 2404.7, 578.947, 3356.23, 3549.99, 2361.14, 1299.16, 3273, 3735.69, 78.1399, 0, 79.3013, 0, 43.5676, 86.9662, 83.2662, 166.882, 43.5676, 86.9662, 0, 0, 83.2662, 0, 43.5676, 1.77316E-005, 40.6052, 1.41357, 42.0188, 1.54879, 0, 0, 0, 0, 43.5676, 0, 0, 0, 0, 0, 0, 43.5676, 0, 0, 0, 0, 0, 0, 1.77316E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2361.14, 0, 0, 0, 0, 0, 0
1815, 2427.89, 593.56, 3356.23, 3549.99, 2383.56, 1311.43, 3273, 3735.69, 103.323, 0, 105.945, 0, 44.387, 88.6153, 83.2662, 166.882, 44.387, 88.6153, 0, 0, 83.2662, 0, 44.387, 1.80091E-005, 41.3669, 1.44187, 42.8088, 1.57824, 0, 0, 0, 0, 44.387, 0, 0, 0, 0, 0, 0, 44.387, 0, 0, 0, 0, 0, 0, 1.80091E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2383.56, 0, 0, 0, 0, 0, 0
1816, 2418.58, 587.687, 3356.23, 3549.99, 2374.5, 1306.51, 3273, 3735.69, 93.2365, 0, 95.2076, 0, 44.057, 87.9513, 83.2662, 166.882, 44.057, 87.9513, 0, 0, 83.2662, 0, 44.057, 1.78998E-005, 41.0599, 1.43068, 42.4906, 1.56641, 0, 0, 0, 0, 44.057, 0, 0, 0, 0, 0, 0, 44.057, 0, 0, 0, 0, 0, 0, 1.78998E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2374.5, 0, 0, 0, 0, 0, 0
1817, 2424.72, 591.559, 3356.23, 3549.99, 2380.46, 1309.76, 3273, 3735.69, 99.8949, 0, 102.285, 0, 44.2746, 88.3891, 83.2662, 166.882, 44.2746, 88.3891, 0, 0, 83.2662, 0, 44.2745, 1.79706E-005, 41.2622, 1.43811, 42.7003, 1.57421, 0, 0, 0, 0, 44.2746, 0, 0, 0, 0, 0, 0, 44.2745, 0, 0, 0, 0, 0, 0, 1.79706E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2380.46, 0, 0, 0, 0, 0, 0
1818, 2451.12, 608.21, 3356.23, 3549.99, 2405.96, 1323.73, 3273, 3735.69, 128.55, 0, 133.166, 0, 45.2182, 90.2883, 83.2662, 166.882, 45.2182, 90.2883, 0, 0, 83.2662, 0, 45.2182, 1.82909E-005, 42.1395, 1.47066, 43.6101, 1.60807, 0, 0, 0, 0, 45.2182, 0, 0, 0, 0, 0, 0, 45.2182, 0, 0, 0, 0, 0, 0, 1.82909E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2405.96, 0, 0, 0, 0, 0, 0
1819, 2698.59, 750.587, 3356.23, 3549.99, 2644.56, 1455.29, 3273, 3735.69, 379.912, 0, 433.309, 0, 54.0332, 108.015, 83.2662, 166.882, 54.0332, 108.015, 0, 0, 83.2662, 0, 54.0332, 2.13724E-005, 50.3342, 1.78343, 52.1176, 1.91552, 0, 0, 0, 0, 54.0332, 0, 0, 0, 0, 0, 0, 54.0332, 0, 0, 0, 0, 0, 0, 2.13724E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2644.56, 0, 0, 0, 0, 0, 0
1820, 2806.54, 819.524, 3356.23, 3549.99, 2748.1, 1512.11, 3273, 3735.69, 496.163, 0, 590.166, 0, 58.4635, 116.935, 83.2662, 166.882, 58.4635, 116.935, 0, 0, 83.2662, 0, 58.4635, 2.29329E-005, 54.4576, 1.93481, 56.3925, 2.07101, 0, 0, 0, 0, 58.4635, 0, 0, 0, 0, 0, 0, 58.4635, 0, 0, 0, 0, 0, 0, 2.29329E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2748.1, 0, 0, 0, 0, 0, 0
1821, 2687.7, 743.651, 3356.23, 3549.99, 2634.08, 1449.56, 3273, 3735.69, 368.152, 0, 418.073, 0, 53.5987, 107.141, 83.2662, 166.882, 53.5987, 107.141, 0, 0, 83.2662, 0, 53.5986, 2.12207E-005, 49.9298, 1.76857, 51.6984, 1.90024, 0, 0, 0, 0, 53.5987, 0, 0, 0, 0, 0, 0, 53.5986, 0, 0, 0, 0, 0, 0, 2.12207E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2634.08, 0, 0, 0, 0, 0, 0
1822, 2505.64, 631.525, 3356.23, 3549.99, 2459, 1353.35, 3273, 3735.69, 171.396, 0, 180.557, 0, 46.6488, 93.1296, 83.2662, 166.882, 46.6488, 93.1296, 0, 0, 83.2662, 0, 46.6488, 1.87897E-005, 43.4868, 1.50644, 44.9932, 1.65562, 0, 0, 0, 0, 46.6488, 0, 0, 0, 0, 0, 0, 46.6488, 0, 0, 0, 0, 0, 0, 1.87897E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2459, 0, 0, 0, 0, 0, 0
1823, 2162.92, 426.721, 3356.23, 3549.99, 2127.72, 1171.3, 3273, 3735.69, 0, 0, 0, 0, 35.2299, 70.1576, 83.2662, 166.882, 35.2299, 70.1576, 0, 0, 83.2662, 0, 35.2298, 1.4861E-005, 32.8627, 1.11527, 33.9779, 1.25189, 0, 0, 0, 0, 35.2299, 0, 0, 0, 0, 0, 0, 35.2298, 0, 0, 0, 0, 0, 0, 1.4861E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2127.72, 0, 0, 0, 0, 0, 0
1824, 1816.46, 233.264, 3356.23, 3549.99, 1790.44, 985.504, 3273, 3735.69, 0, 0, 0, 0, 26.0135, 51.6254, 83.2662, 166.882, 26.0135, 51.6254, 0, 0, 83.2662, 0, 26.0135, 1.18511E-005, 24.3148, 0.786053, 25.1009, 0.912583, 0, 0, 0, 0, 26.0135, 0, 0, 0, 0, 0, 0, 26.0135, 0, 0, 0, 0, 0, 0, 1.18511E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1790.44, 0, 0, 0, 0, 0, 0
1825, 1626.89, 117.344, 3356.23, 3549.99, 1605.17, 883.674, 3273, 3735.69, 0, 0, 0, 0, 21.7089, 42.9749, 83.2662, 166.882, 21.7089, 42.9749, 0, 0, 83.2662, 0, 21.7089, 1.06223E-005, 20.3398, 0.626051, 20.9659, 0.743021, 0, 0, 0, 0, 21.7089, 0, 0, 0, 0, 0, 0, 21.7089, 0, 0, 0, 0, 0, 0, 1.06223E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1605.17, 0, 0, 0, 0, 0, 0
1826, 1528.62, 57.6187, 3356.23, 3549.99, 1508.88, 830.733, 3273, 3735.69, 0, 0, 0, 0, 19.7348, 39.0091, 83.2662, 166.882, 19.7348, 39.0091, 0, 0, 83.2662, 0, 19.7348, 1.00955E-005, 18.5213, 0.550571, 19.0718, 0.662993, 0, 0, 0, 0, 19.7348, 0, 0, 0, 0, 0, 0, 19.7348, 0, 0, 0, 0, 0, 0, 1.00955E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1508.88, 0, 0, 0, 0, 0, 0
1827, 1483.13, 40.4118, 3356.23, 3549.99, 1464.14, 805.847, 3273, 3735.69, 0, 0, 0, 0, 18.9844, 37.5115, 83.2662, 166.882, 18.9844, 37.5115, 0, 0, 83.2662, 0, 18.9844, 9.85423E-006, 17.8263, 0.52384, 18.3501, 0.634274, 0, 0, 0, 0, 18.9844, 0, 0, 0, 0, 0, 0, 18.9844, 0, 0, 0, 0, 0, 0, 9.85423E-006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1464.14, 0, 0, 0, 0, 0, 0
1828, 1473.55, 34.6077, 3356.23, 3549.99, 1454.73, 800.675, 3273, 3735.69, 0, 0, 0, 0, 18.806, 37.1532, 83.2662, 166.882, 18.806, 37.1532, 0, 0, 83.2662, 0, 18.806, 9.80462E-006, 17.6622, 0.516929, 18.1791, 0.626897, 0, 0, 0, 0, 18.806, 0, 0, 0, 0, 0, 0, 18.806, 0, 0, 0, 0, 0, 0, 9.80462E-006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1454.73, 0, 0, 0, 0, 0, 0
1829, 1517.02, 60.952, 3356.23, 3549.99, 1497.43, 824.114, 3273, 3735.69, 0, 0, 0, 0, 19.6287, 38.8056, 83.2662, 166.882, 19.6287, 38.8056, 0, 0, 83.2662, 0, 19.6287, 1.00203E-005, 18.4192, 0.548715, 18.9679, 0.66076, 0, 0, 0, 0, 19.6287, 0, 0, 0, 0, 0, 0, 19.6287, 0, 0, 0, 0, 0, 0, 1.00203E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1497.43, 0, 0, 0, 0, 0, 0
1830, 1689.56, 162.639, 3356.23, 3549.99, 1666.31, 916.953, 3273, 3735.69, 0, 0, 0, 0, 23.2497, 46.0824, 83.2662, 166.882, 23.2497, 46.0824, 0, 0, 83.2662, 0, 23.2497, 1.10609E-005, 21.7781, 0.667906, 22.446, 0.803708, 0, 0, 0, 0, 23.2497, 0, 0, 0, 0, 0, 0, 23.2497, 0, 0, 0, 0, 0, 0, 1.10609E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1666.31, 0, 0, 0, 0, 0, 0
1831, 1965.75, 325.827, 3356.23, 3549.99, 1935.54, 1064.94, 3273, 3735.69, 0, 0, 0, 0, 30.1934, 60.0537, 83.2662, 166.882, 30.1934, 60.0537, 0, 0, 83.2662, 0, 30.1934, 1.32298E-005, 28.1873, 0.939612, 29.1269, 1.06652, 0, 0, 0, 0, 30.1934, 0, 0, 0, 0, 0, 0, 30.1934, 0, 0, 0, 0, 0, 0, 1.32298E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1935.54, 0, 0, 0, 0, 0, 0
1832, 2190.5, 458.854, 3356.23, 3549.99, 2153.63, 1184.73, 3273, 3735.69, 0, 0, 0, 0, 36.8484, 73.4401, 83.2662, 166.882, 36.8484, 73.4401, 0, 0, 83.2662, 0, 36.8484, 1.54536E-005, 34.3798, 1.16102, 35.5408, 1.30757, 0, 0, 0, 0, 36.8484, 0, 0, 0, 0, 0, 0, 36.8484, 0, 0, 0, 0, 0, 0, 1.54536E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2153.63, 0, 0, 0, 0, 0, 0
1833, 2274.59, 500.557, 3356.23, 3549.99, 2235.46, 1230.07, 3273, 3735.69, 0, 0, 0, 0, 39.1403, 78.0385, 83.2662, 166.882, 39.1403, 78.0385, 0, 0, 83.2662, 0, 39.1403, 1.62206E-005, 36.5102, 1.23998, 37.7502, 1.39006, 0, 0, 0, 0, 39.1403, 0, 0, 0, 0, 0, 0, 39.1403, 0, 0, 0, 0, 0, 0, 1.62206E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2235.46, 0, 0, 0, 0, 0, 0
1834, 2351.95, 549.092, 3356.23, 3549.99, 2310.23, 1271.13, 3273, 3735.69, 21.2289, 0, 21.0423, 0, 41.7282, 83.246, 83.2662, 166.882, 41.7282, 83.246, 0, 0, 83.2662, 0, 41.7282, 1.70767E-005, 38.9144, 1.32987, 40.2443, 1.48395, 0, 0, 0, 0, 41.7282, 0, 0, 0, 0, 0, 0, 41.7282, 0, 0, 0, 0, 0, 0, 1.70767E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2310.23, 0, 0, 0, 0, 0, 0
1835, 2386.48, 570.807, 3356.23, 3549.99, 2343.64, 1289.43, 3273, 3735.69, 58.7831, 0, 59.1856, 0, 42.9191, 85.6423, 83.2662, 166.882, 42.9191, 85.6423, 0, 0, 83.2662, 0, 42.9191, 1.74819E-005, 40.0213, 1.37089, 41.3922, 1.52693, 0, 0, 0, 0, 42.9191, 0, 0, 0, 0, 0, 0, 42.9191, 0, 0, 0, 0, 0, 0, 1.74819E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2343.64, 0, 0, 0, 0, 0, 0
1836, 2401.11, 580.014, 3356.23, 3549.99, 2357.71, 1297.19, 3273, 3735.69, 74.7176, 0, 75.7235, 0, 43.4308, 86.6722, 83.2662, 166.882, 43.4308, 86.6722, 0, 0, 83.2662, 0, 43.4308, 1.76557E-005, 40.4967, 1.38873, 41.8854, 1.54538, 0, 0, 0, 0, 43.4308, 0, 0, 0, 0, 0, 0, 43.4308, 0, 0, 0, 0, 0, 0, 1.76557E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2357.71, 0, 0, 0, 0, 0, 0
1837, 2404.59, 582.209, 3356.23, 3549.99, 2361.04, 1299.03, 3273, 3735.69, 78.5218, 0, 79.7025, 0, 43.5535, 86.9192, 83.2662, 166.882, 43.5535, 86.9192, 0, 0, 83.2662, 0, 43.5534, 1.76951E-005, 40.6106, 1.39306, 42.0036, 1.54981, 0, 0, 0, 0, 43.5535, 0, 0, 0, 0, 0, 0, 43.5534, 0, 0, 0, 0, 0, 0, 1.76951E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2361.04, 0, 0, 0, 0, 0, 0
