System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   288.8949271 + j -38889.49271
[ 134, 134] =   1000021.336 + j -23.23064647
[ 136, 134] =   1.558827253 + j -2.810890183
[ 137, 134] =  0.8405302425 + j -2.209241784
[ 138, 134] =  -4.272183367 + j  9.379646111
[ 139, 134] =   2.822080184 + j -1.847665943
[ 140, 134] =   3.758053754 + j -1.501174277
[ 141, 134] =  -13.29188988 + j  6.539312275
[ 268, 134] =      -1000000 + j            0
[ 135, 135] =   7.707707371 + j -7.860947306
[ 136, 136] =   1000005.144 + j -9.970487885
[ 137, 136] =  -2.004974088 + j  3.156636355
[ 138, 136] =  -1.558827253 + j  2.810890133
[ 269, 136] =      -1000000 + j            0
[ 137, 137] =   1000004.462 + j -9.526517591
[ 138, 137] = -0.8405302425 + j  2.209241761
[ 270, 137] =      -1000000 + j            0
[ 138, 138] =   1000004.272 + j -9.379645811
[ 271, 138] =      -1000000 + j            0
[ 139, 139] =     32.280304 + j -15.88118267
[ 140, 139] =  -9.126701974 + j  3.645708959
[ 141, 139] =  -6.853623304 + j  4.487188718
[ 142, 139] =  -18.98841412 + j  9.341874678
[ 143, 139] =    5.36864822 + j -2.144534682
[ 144, 139] =    4.03154312 + j -2.639522775
[ 140, 140] =    33.8383343 + j -14.82330051
[ 141, 140] =  -9.126701974 + j  3.645708959
[ 142, 140] =    5.36864822 + j -2.144534682
[ 143, 140] =  -19.90490253 + j  8.719591058
[ 144, 140] =    5.36864822 + j -2.144534682
[ 141, 141] =   32.28724844 + j -15.88465489
[ 142, 141] =    4.03154312 + j -2.639522775
[ 143, 141] =    5.36864822 + j -2.144534682
[ 144, 141] =  -18.98841412 + j  9.341874678
[ 142, 142] =   28.48956562 + j -14.01627895
[ 143, 142] =   -8.05297233 + j  3.216802023
[ 144, 142] =   -6.04731468 + j  3.959284163
[ 145, 142] =  -9.494207058 + j  4.670937339
[ 146, 142] =    2.68432411 + j -1.072267341
[ 147, 142] =    2.01577156 + j -1.319761388
[ 143, 143] =   29.85735379 + j -13.07938129
[ 144, 143] =   -8.05297233 + j  3.216802023
[ 145, 143] =    2.68432411 + j -1.072267341
[ 146, 143] =  -9.952451264 + j  4.359795529
[ 147, 143] =    2.68432411 + j -1.072267341
[ 144, 144] =   28.48262117 + j -14.01280672
[ 145, 144] =    2.01577156 + j -1.319761388
[ 146, 144] =    2.68432411 + j -1.072267341
[ 147, 144] =  -9.494207058 + j  4.670937339
[ 145, 145] =   17.31296581 + j -8.517583804
[ 146, 145] =  -4.894943965 + j  1.955311033
[ 147, 145] =  -3.675818727 + j  2.406623707
[ 148, 145] =  -7.818758754 + j  3.846654279
[ 149, 145] =   2.210619855 + j-0.8830436925
[ 150, 145] =   1.660047167 + j -1.086862319
[ 146, 146] =   18.16160843 + j -7.956283951
[ 147, 146] =  -4.894943965 + j  1.955311033
[ 148, 146] =   2.210619855 + j-0.8830436925
[ 149, 146] =  -8.196136335 + j  3.590419847
[ 150, 146] =   2.210619855 + j-0.8830436925
[ 147, 147] =   17.31296581 + j -8.517583804
[ 148, 147] =   1.660047167 + j -1.086862319
[ 149, 147] =   2.210619855 + j-0.8830436925
[ 150, 147] =  -7.818758754 + j  3.846654279
[ 148, 148] =   18.04935683 + j -8.881220786
[ 149, 148] =  -5.103452902 + j  2.039237756
[ 150, 148] =  -3.834923011 + j  2.511033052
[ 151, 148] =  -10.22453068 + j  5.030240211
[ 152, 148] =    2.89081058 + j -1.154749444
[ 153, 148] =   2.170830911 + j -1.421281494
[ 149, 149] =   18.91820571 + j -8.288465939
[ 150, 149] =  -5.103452902 + j  2.039237756
[ 151, 149] =    2.89081058 + j -1.154749444
[ 152, 149] =  -10.71802444 + j  4.695164416
[ 153, 149] =    2.89081058 + j -1.154749444
[ 150, 150] =   18.04935683 + j -8.881220786
[ 151, 150] =   2.170830911 + j -1.421281494
[ 152, 150] =    2.89081058 + j -1.154749444
[ 153, 150] =  -10.22453068 + j  5.030240211
[ 151, 151] =   10.22453068 + j -5.030236934
[ 152, 151] =   -2.89081058 + j  1.154749444
[ 153, 151] =  -2.170830911 + j  1.421281494
[ 152, 152] =   10.71802444 + j -4.695161139
[ 153, 152] =   -2.89081058 + j  1.154749444
[ 153, 153] =   10.23755151 + j -5.036313323
[ 154, 154] =   34.58466598 + j -64.18876964
[ 155, 154] =  -9.630293936 + j  9.824014142
[ 156, 154] =  -4.851060257 + j  12.75048112
[ 157, 154] =  -9.697748031 + j  16.76616734
[ 158, 154] =  -8.544366734 + j  18.75929222
[ 159, 154] =   1.681060485 + j -4.418483569
[ 160, 154] =   3.117654507 + j -5.621780366
[ 161, 154] =  -9.398803408 + j  20.63522144
[ 162, 154] =   1.849166533 + j -4.860331926
[ 163, 154] =   3.429419957 + j -6.183958402
[ 260, 154] =  -7.011201906 + j   14.9702424
[ 261, 154] =   1.320833238 + j -3.471665661
[ 262, 154] =   3.150673567 + j -4.960428668
[ 155, 155] =   16.63761629 + j -16.97048759
[ 164, 155] =  -7.003850136 + j  7.144737557
[ 156, 156] =   25.45246155 + j -54.75081856
[ 157, 156] =  -10.87047685 + j  17.67498603
[ 158, 156] =   1.681060485 + j -4.418483569
[ 159, 156] =   -8.92334788 + j  19.05303578
[ 160, 156] =   4.009948176 + j  -6.31327285
[ 161, 156] =   1.849166533 + j -4.860331926
[ 162, 156] =  -9.815682668 + j  20.95833936
[ 163, 156] =   4.410942994 + j -6.944600136
[ 260, 156] =   1.320833238 + j -3.471665661
[ 261, 156] =  -6.713431006 + j  14.73944389
[ 262, 156] =   2.449585684 + j -4.417113144
[ 157, 157] =   29.68841831 + j -57.54396002
[ 158, 157] =   3.117654507 + j -5.621780366
[ 159, 157] =   4.009948176 + j  -6.31327285
[ 160, 157] =  -10.28806575 + j  19.94097643
[ 161, 157] =   3.429419957 + j -6.183958402
[ 162, 157] =   4.410942994 + j -6.944600136
[ 163, 157] =  -11.31687233 + j  21.93507407
[ 260, 157] =   3.150673567 + j -4.960428668
[ 261, 157] =   2.449585684 + j -4.417113144
[ 262, 157] =  -8.083480232 + j  15.66791005
[ 158, 158] =   20.29287099 + j -44.55331877
[ 159, 158] =  -3.992518652 + j  10.49389846
[ 160, 158] =  -7.404429453 + j  13.35172833
[ 168, 158] =  -11.74850426 + j  25.79402681
[ 169, 158] =   2.311458167 + j -6.075414907
[ 170, 158] =   4.286774947 + j -7.729948003
[ 159, 159] =   21.19295121 + j -45.25095973
[ 160, 159] =  -9.523626919 + j  14.99402296
[ 168, 159] =   2.311458167 + j -6.075414907
[ 169, 159] =  -12.26960333 + j   26.1979242
[ 170, 159] =   5.513678742 + j -8.680750169
[ 160, 160] =   31.43800629 + j -54.50455615
[ 167, 160] =  -7.003850136 + j  7.144737557
[ 168, 160] =   4.286774947 + j -7.729948003
[ 169, 160] =   5.513678742 + j -8.680750169
[ 170, 160] =  -14.14609041 + j  27.41884258
[ 161, 161] =   1000017.943 + j -39.39451338
[ 162, 161] =  -3.530227018 + j  9.278815473
[ 163, 161] =  -6.547074464 + j  11.80573872
[ 219, 161] =  -8.544366734 + j  18.75929222
[ 220, 161] =   1.681060485 + j -4.418483569
[ 221, 161] =   3.117654507 + j -5.621780366
[ 263, 161] =      -1000000 + j            0
[ 162, 162] =   1000018.739 + j -40.01137486
[ 163, 162] =   -8.42089117 + j  13.25787292
[ 219, 162] =   1.681060485 + j -4.418483569
[ 220, 162] =   -8.92334788 + j  19.05303578
[ 221, 162] =   4.009948176 + j  -6.31327285
[ 264, 162] =      -1000000 + j            0
[ 163, 163] =   1000021.605 + j -41.87605018
[ 219, 163] =   3.117654507 + j -5.621780366
[ 220, 163] =   4.009948176 + j  -6.31327285
[ 221, 163] =  -10.28806575 + j  19.94097643
[ 265, 163] =      -1000000 + j            0
[ 164, 164] =   12.93712931 + j -13.19375666
[ 165, 164] =   -5.92633473 + j  6.045547164
[ 165, 165] =   12.93365709 + j -13.19202055
[ 166, 165] =  -7.003850136 + j  7.144737557
[ 166, 166] =    7.01079458 + j  -7.14820965
[ 167, 167] =   12.51381969 + j -12.76193185
[ 171, 167] =  -5.503025106 + j  5.613722367
[ 168, 168] =   21.25013376 + j -46.27022216
[ 169, 168] =  -4.133671269 + j  10.85357792
[ 170, 168] =  -8.272452093 + j  14.28176876
[ 173, 168] =  -6.134801667 + j   13.0989621
[ 174, 168] =   1.155729083 + j -3.037707454
[ 175, 168] =   2.756839371 + j -4.340375085
[ 176, 168] =  -3.356715503 + j  7.369721945
[ 177, 168] =  0.6604166191 + j -1.735832831
[ 178, 168] =   1.224792842 + j -2.208556572
[ 169, 169] =   21.65956875 + j -46.58757012
[ 170, 169] =  -9.236447933 + j  15.02882759
[ 173, 169] =   1.155729083 + j -3.037707454
[ 174, 169] =   -5.87425213 + j   12.8970134
[ 175, 169] =   2.143387473 + j -3.864974001
[ 176, 169] =  0.6604166191 + j -1.735832831
[ 177, 169] =  -3.505600953 + j  7.485121201
[ 178, 169] =   1.575336784 + j -2.480214334
[ 170, 170] =   25.26896559 + j  -48.9679966
[ 173, 170] =   2.756839371 + j -4.340375085
[ 174, 170] =   2.143387473 + j -3.864974001
[ 175, 170] =  -7.073045203 + j  13.70942129
[ 176, 170] =   1.224792842 + j -2.208556572
[ 177, 170] =   1.575336784 + j -2.480214334
[ 178, 170] =  -4.041740116 + j  7.833955024
[ 171, 171] =   10.32511652 + j -10.52920131
[ 172, 171] =  -4.815146968 + j  4.912007071
[ 172, 172] =   4.822091413 + j -4.915479104
[ 173, 173] =   30.67400834 + j -65.49481023
[ 174, 173] =  -5.778645417 + j  15.18853725
[ 175, 173] =  -13.78419686 + j  21.70187536
[ 179, 173] =  -24.53920667 + j  52.39584841
[ 180, 173] =   4.622916334 + j -12.15082981
[ 181, 173] =   11.02735748 + j -17.36150034
[ 174, 174] =   29.37820509 + j -64.48853896
[ 175, 174] =  -10.71693737 + j  19.32486996
[ 179, 174] =   4.622916334 + j -12.15082981
[ 180, 174] =  -23.49700852 + j  51.58805361
[ 181, 174] =   8.573549893 + j -15.45989601
[ 175, 175] =   35.36522602 + j -68.54710616
[ 179, 175] =   11.02735748 + j -17.36150034
[ 180, 175] =   8.573549893 + j -15.45989601
[ 181, 175] =  -28.29218081 + j  54.83768517
[ 176, 176] =    8.80987254 + j -19.01324318
[ 177, 176] =   -1.68773136 + j  4.436017186
[ 178, 176] =  -3.675316727 + j  6.066667637
[ 199, 176] =  -5.453157038 + j  11.64352187
[ 200, 176] =   1.027314741 + j -2.700184403
[ 201, 176] =   2.450523886 + j -3.858111186
[ 177, 177] =   8.730630624 + j  -18.9508686
[ 178, 177] =  -3.480570093 + j  5.915746649
[ 199, 177] =   1.027314741 + j -2.700184403
[ 200, 177] =  -5.221557449 + j  11.46401191
[ 201, 177] =    1.90523331 + j -3.435532446
[ 178, 178] =   10.32889141 + j  -20.0201066
[ 199, 178] =   2.450523886 + j -3.858111186
[ 200, 178] =    1.90523331 + j -3.435532446
[ 201, 178] =  -6.287151292 + j  12.18615226
[ 179, 179] =   40.61166952 + j -86.71359663
[ 180, 179] =  -7.650791359 + j  20.10926802
[ 181, 179] =   -18.2499542 + j  28.73277531
[ 182, 179] =  -10.90631408 + j  23.28704374
[ 183, 179] =   2.054629482 + j -5.400368806
[ 184, 179] =   4.901047771 + j -7.716222373
[ 185, 179] =  -5.166148773 + j  11.03070493
[ 186, 179] =  0.9732455439 + j -2.558069435
[ 187, 179] =   2.321548944 + j -3.655052703
[ 180, 180] =   38.88686205 + j -85.37671987
[ 181, 180] =  -14.18897438 + j  25.58567577
[ 182, 180] =   2.054629482 + j -5.400368806
[ 183, 180] =   -10.4431149 + j  22.92802383
[ 184, 180] =   3.810466619 + j -6.871064891
[ 185, 180] =  0.9732455439 + j -2.558069435
[ 186, 180] =  -4.946738636 + j  10.86064287
[ 187, 180] =   1.804957872 + j -3.254714949
[ 181, 181] =   46.82273199 + j -90.75476504
[ 182, 181] =   4.901047771 + j -7.716222373
[ 183, 181] =   3.810466619 + j -6.871064891
[ 184, 181] =  -12.57430258 + j  24.37230452
[ 185, 181] =   2.321548944 + j -3.655052703
[ 186, 181] =   1.804957872 + j -3.254714949
[ 187, 181] =  -5.956248592 + j  11.54477583
[ 182, 182] =   10.91325852 + j -23.29051584
[ 183, 182] =  -2.054629482 + j  5.400368797
[ 184, 182] =  -4.901047771 + j  7.716222344
[ 183, 183] =    10.4431149 + j  -22.9280237
[ 184, 183] =  -3.810466619 + j  6.871064871
[ 184, 184] =   12.57430258 + j -24.37230439
[ 185, 185] =   19.18855258 + j -40.97118938
[ 186, 185] =   -3.61491202 + j   9.50140073
[ 187, 185] =  -8.622896078 + j  13.57590996
[ 188, 185] =  -14.02240381 + j   29.9404848
[ 189, 185] =   2.641666476 + j -6.943331323
[ 190, 185] =   6.301347134 + j -9.920857336
[ 186, 186] =   18.38054509 + j -40.34300251
[ 187, 186] =   -6.70412924 + j  12.08894118
[ 188, 186] =   2.641666476 + j -6.943331323
[ 189, 186] =  -13.42686201 + j  29.47888778
[ 190, 186] =   4.899171368 + j -8.834226289
[ 187, 187] =   22.12320906 + j -42.88059553
[ 188, 187] =   6.301347134 + j -9.920857336
[ 189, 187] =   4.899171368 + j -8.834226289
[ 190, 187] =  -16.16696046 + j   31.3358201
[ 188, 188] =   23.83808648 + j -50.89882393
[ 189, 188] =   -4.49083301 + j  11.80366323
[ 190, 188] =  -10.71229013 + j  16.86545742
[ 191, 188] =  -9.815682668 + j  20.95833936
[ 192, 188] =   1.849166533 + j -4.860331926
[ 193, 188] =   4.410942994 + j -6.944600136
[ 189, 189] =   22.82566542 + j -50.11410899
[ 190, 189] =  -8.328591325 + j  15.01818465
[ 191, 189] =   1.849166533 + j -4.860331926
[ 192, 189] =  -9.398803408 + j  20.63522144
[ 193, 189] =   3.429419957 + j -6.183958402
[ 190, 190] =   30.33725322 + j  -56.1817126
[ 191, 190] =   4.410942994 + j -6.944600136
[ 192, 190] =   3.429419957 + j -6.183958402
[ 193, 190] =  -11.31687233 + j  21.93507407
[ 194, 190] =  -2.853420426 + j  2.910819005
[ 191, 191] =   19.63830978 + j -41.92015067
[ 192, 191] =  -3.698333067 + j  9.720663831
[ 193, 191] =  -8.821885988 + j  13.88920021
[ 195, 191] =  -9.815682668 + j  20.95833936
[ 196, 191] =   1.849166533 + j -4.860331926
[ 197, 191] =   4.410942994 + j -6.944600136
[ 192, 192] =   18.79760682 + j -41.27044262
[ 193, 192] =  -6.858839915 + j  12.36791676
[ 195, 192] =   1.849166533 + j -4.860331926
[ 196, 192] =  -9.398803408 + j  20.63522144
[ 197, 192] =   3.429419957 + j -6.183958402
[ 193, 193] =   22.63374465 + j -43.87014784
[ 195, 193] =   4.410942994 + j -6.944600136
[ 196, 193] =   3.429419957 + j -6.183958402
[ 197, 193] =  -11.31687233 + j  21.93507407
[ 194, 194] =   6.911753253 + j  -7.04898158
[ 198, 194] =  -4.054860605 + j  4.136427007
[ 195, 195] =   9.815682668 + j -20.92366837
[ 196, 195] =  -1.849166533 + j  4.860331915
[ 197, 195] =  -4.410942994 + j  6.944600103
[ 196, 196] =   9.398803408 + j -20.60055045
[ 197, 196] =  -3.429419957 + j   6.18395838
[ 197, 197] =   11.32034455 + j -21.90213917
[ 198, 198] =   4.061805049 + j -4.139899005
[ 199, 199] =   25.38255513 + j -41.92400191
[ 200, 199] =  -2.708375226 + j  7.118667942
[ 201, 199] =  -6.460472062 + j  10.17138394
[ 202, 199] =  -11.00605021 + j  11.22744473
[ 203, 199] =   -8.92334788 + j  19.05303578
[ 204, 199] =   1.681060485 + j -4.418483569
[ 205, 199] =   4.009948176 + j  -6.31327285
[ 200, 200] =   13.77286863 + j -30.22677596
[ 201, 200] =  -5.022887816 + j  9.057312746
[ 203, 200] =   1.681060485 + j -4.418483569
[ 204, 200] =  -8.544366734 + j  18.75929222
[ 205, 200] =   3.117654507 + j -5.621780366
[ 201, 201] =   16.57521704 + j -32.12712825
[ 203, 201] =   4.009948176 + j  -6.31327285
[ 204, 201] =   3.117654507 + j -5.621780366
[ 205, 201] =  -10.28806575 + j  19.94097643
[ 202, 202] =   11.01299466 + j -11.22225077
[ 203, 203] =   19.82966196 + j -42.34007925
[ 204, 203] =  -3.735689967 + j  9.818852354
[ 205, 203] =  -8.910995947 + j  14.02949516
[ 207, 203] =  -10.90631408 + j  23.28704374
[ 208, 203] =   2.054629482 + j -5.400368806
[ 209, 203] =   4.901047771 + j -7.716222373
[ 204, 204] =   26.69171678 + j -49.54652697
[ 205, 204] =  -6.928121126 + j  12.49284521
[ 206, 204] =  -7.704235149 + j  7.859211313
[ 207, 204] =   2.054629482 + j -5.400368806
[ 208, 204] =   -10.4431149 + j  22.92802383
[ 209, 204] =   3.810466619 + j -6.871064891
[ 205, 205] =   22.86236833 + j -44.31328065
[ 207, 205] =   4.901047771 + j -7.716222373
[ 208, 205] =   3.810466619 + j -6.871064891
[ 209, 205] =  -12.57430258 + j  24.37230452
[ 206, 206] =   7.711179593 + j -7.854017311
[ 207, 207] =   21.81262815 + j -46.57408723
[ 208, 207] =  -4.109258963 + j  10.80073759
[ 209, 207] =  -9.802095542 + j  15.43244469
[ 211, 207] =  -10.90631408 + j  23.28704374
[ 212, 207] =   2.054629482 + j -5.400368806
[ 213, 207] =   4.901047771 + j -7.716222373
[ 208, 208] =   20.88622979 + j -45.85604741
[ 209, 208] =  -7.620933238 + j  13.74212974
[ 211, 208] =   2.054629482 + j -5.400368806
[ 212, 208] =   -10.4431149 + j  22.92802383
[ 213, 208] =   3.810466619 + j -6.871064891
[ 209, 209] =   31.56880112 + j -55.29395139
[ 210, 209] =  -6.420195958 + j  6.549342761
[ 211, 209] =   4.901047771 + j -7.716222373
[ 212, 209] =   3.810466619 + j -6.871064891
[ 213, 209] =  -12.57430258 + j  24.37230452
[ 210, 210] =   6.427140402 + j -6.544148736
[ 211, 211] =   26.08989977 + j -47.89706368
[ 212, 211] =  -3.595601593 + j  9.450645389
[ 213, 211] =  -8.576833599 + j  13.50338909
[ 214, 211] =  -7.003850136 + j  7.144737557
[ 215, 211] =  -8.179735557 + j   17.4652828
[ 216, 211] =   1.540972111 + j -4.050276605
[ 217, 211] =   3.675785828 + j  -5.78716678
[ 212, 212] =   18.27545107 + j -40.12404141
[ 213, 212] =  -6.668316584 + j  12.02436351
[ 215, 212] =   1.540972111 + j -4.050276605
[ 216, 212] =  -7.832336173 + j  17.19601787
[ 217, 212] =   2.857849964 + j -5.153298669
[ 213, 213] =   22.00502952 + j  -42.6515326
[ 215, 213] =   3.675785828 + j  -5.78716678
[ 216, 213] =   2.857849964 + j -5.153298669
[ 217, 213] =  -9.430726938 + j  18.27922839
[ 214, 214] =    7.01079458 + j  -7.14820965
[ 215, 215] =   8.179735557 + j -17.46528264
[ 216, 215] =  -1.540972111 + j  4.050276592
[ 217, 215] =  -3.675785828 + j  5.787166741
[ 216, 216] =   17.46610233 + j -27.02176787
[ 217, 216] =  -2.857849964 + j  5.153298641
[ 218, 216] =  -9.630293936 + j  9.824014142
[ 217, 217] =   9.430726938 + j -18.27922821
[ 218, 218] =   9.633766159 + j -9.825750158
[ 219, 219] =   12.82349455 + j -28.14241011
[ 220, 219] =  -2.521590727 + j  6.627725319
[ 221, 219] =   -4.67648176 + j  8.432670474
[ 222, 219] =  -4.272183367 + j  9.379646111
[ 223, 219] =  0.8405302425 + j -2.209241784
[ 224, 219] =   1.558827253 + j -2.810890183
[ 220, 220] =   13.38502182 + j -28.57955322
[ 221, 220] =  -6.014922264 + j   9.46990917
[ 222, 220] =  0.8405302425 + j -2.209241784
[ 223, 220] =   -4.46167394 + j  9.526517892
[ 224, 220] =   2.004974088 + j -3.156636425
[ 221, 221] =   15.43209863 + j -29.91146415
[ 222, 221] =   1.558827253 + j -2.810890183
[ 223, 221] =   2.004974088 + j -3.156636425
[ 224, 221] =  -5.144032875 + j  9.970488213
[ 222, 222] =   12.10451954 + j -26.57566352
[ 223, 222] =  -2.381502354 + j  6.259518354
[ 224, 222] =  -4.416677218 + j  7.964188774
[ 225, 222] =  -7.832336173 + j  17.19601787
[ 226, 222] =   1.540972111 + j -4.050276605
[ 227, 222] =   2.857849964 + j -5.153298669
[ 223, 223] =   12.64835394 + j -26.99527245
[ 224, 223] =  -5.680759916 + j  8.943803096
[ 225, 223] =   1.540972111 + j -4.050276605
[ 226, 223] =  -8.179735557 + j   17.4652828
[ 227, 223] =   3.675785828 + j  -5.78716678
[ 224, 224] =   14.57475981 + j  -28.2497161
[ 225, 224] =   2.857849964 + j -5.153298669
[ 226, 224] =   3.675785828 + j  -5.78716678
[ 227, 224] =  -9.430726938 + j  18.27922839
[ 225, 225] =   10.76946224 + j -23.64452397
[ 226, 225] =  -2.118836653 + j  5.569130285
[ 227, 225] =  -3.929543701 + j  7.085785569
[ 228, 225] =  -2.937126065 + j  6.448506702
[ 229, 225] =  0.5778645417 + j -1.518853727
[ 230, 225] =   1.071693737 + j -1.932487001
[ 226, 226] =   11.24713639 + j -24.01476325
[ 227, 226] =  -5.054205514 + j  7.957354181
[ 228, 226] =  0.5778645417 + j -1.518853727
[ 229, 226] =  -3.067400834 + j  6.549481051
[ 230, 226] =   1.378419686 + j -2.170187542
[ 227, 227] =   12.97419398 + j  -25.1374106
[ 228, 227] =   1.071693737 + j -1.932487001
[ 229, 227] =   1.378419686 + j -2.170187542
[ 230, 227] =  -3.536522602 + j  6.854710646
[ 228, 228] =   2.937126065 + j -6.448506265
[ 229, 228] = -0.5778645417 + j  1.518853693
[ 230, 228] =  -1.071693737 + j  1.932486928
[ 229, 229] =   3.067400834 + j -6.549480613
[ 230, 229] =  -1.378419686 + j   2.17018744
[ 230, 230] =   3.536522602 + j  -6.85471017
[ 231, 231] =   30.16519935 + j -50.60850709
[ 232, 231] =  -8.560261277 + j  8.732457015
[ 233, 231] =  -6.547074464 + j  11.80573872
[ 234, 231] =   -8.42089117 + j  13.25787292
[ 235, 231] =   3.117654507 + j -5.621780366
[ 236, 231] =   4.009948176 + j  -6.31327285
[ 237, 231] =  -10.28806575 + j  19.94097643
[ 263, 231] =   3.429419957 + j -6.183958402
[ 264, 231] =   4.410942994 + j -6.944600136
[ 265, 231] =  -11.31687233 + j  21.93507407
[ 232, 232] =   14.49006823 + j -14.77974003
[ 238, 232] =   -5.92633473 + j  6.045547164
[ 233, 233] =   17.94317014 + j -39.39451338
[ 234, 233] =  -3.530227018 + j  9.278815473
[ 235, 233] =  -8.544366734 + j  18.75929222
[ 236, 233] =   1.681060485 + j -4.418483569
[ 237, 233] =   3.117654507 + j -5.621780366
[ 263, 233] =  -9.398803408 + j  20.63522144
[ 264, 233] =   1.849166533 + j -4.860331926
[ 265, 233] =   3.429419957 + j -6.183958402
[ 234, 234] =   18.73903055 + j -40.01137486
[ 235, 234] =   1.681060485 + j -4.418483569
[ 236, 234] =   -8.92334788 + j  19.05303578
[ 237, 234] =   4.009948176 + j  -6.31327285
[ 263, 234] =   1.849166533 + j -4.860331926
[ 264, 234] =  -9.815682668 + j  20.95833936
[ 265, 234] =   4.410942994 + j -6.944600136
[ 235, 235] =   15.77421551 + j -34.63253916
[ 236, 235] =   -3.10349628 + j   8.15720041
[ 237, 235] =  -5.755669858 + j  10.37867139
[ 241, 235] =  -7.229848775 + j  15.87324727
[ 242, 235] =   1.422435795 + j -3.738716866
[ 243, 235] =   2.638015352 + j -4.756891079
[ 236, 236] =   25.03413429 + j -43.90729187
[ 237, 236] =  -7.402981249 + j  11.65527288
[ 240, 236] =  -8.560261277 + j  8.732457015
[ 241, 236] =   1.422435795 + j -3.738716866
[ 242, 236] =  -7.550525129 + j  16.12179951
[ 243, 236] =   3.393033072 + j -5.342000104
[ 237, 237] =   18.99335215 + j -36.81410997
[ 241, 237] =   2.638015352 + j -4.756891079
[ 242, 237] =   3.393033072 + j -5.342000104
[ 243, 237] =  -8.705286404 + j   16.8731339
[ 238, 238] =   8.684791728 + j -8.855880085
[ 239, 238] =  -2.751512553 + j  2.806861183
[ 239, 239] =   2.758456998 + j -2.810333075
[ 240, 240] =   11.91687318 + j -12.15297726
[ 244, 240] =  -3.349667456 + j  3.417048397
[ 241, 241] =   13.85968027 + j  -25.3982802
[ 242, 241] =  -1.884727428 + j  4.953799792
[ 243, 241] =  -3.495370341 + j  6.302880559
[ 245, 241] =  -4.280130638 + j  4.366228507
[ 246, 241] =  -2.349700852 + j  5.158805361
[ 247, 241] =  0.4622916334 + j -1.215082981
[ 248, 241] =  0.8573549893 + j -1.545989601
[ 242, 242] =    10.0044458 + j -21.36138363
[ 243, 242] =  -4.495768821 + j  7.078149968
[ 246, 242] =  0.4622916334 + j -1.215082981
[ 247, 242] =  -2.453920667 + j  5.239584841
[ 248, 242] =   1.102735748 + j -1.736150034
[ 243, 243] =   11.53450449 + j -22.35690163
[ 246, 243] =  0.8573549893 + j -1.545989601
[ 247, 243] =   1.102735748 + j -1.736150034
[ 248, 243] =  -2.829218081 + j  5.483768517
[ 244, 244] =   3.356611901 + j -3.420520348
[ 245, 245] =   10.70727104 + j -10.91904314
[ 249, 245] =  -6.420195958 + j  6.549342761
[ 246, 246] =   2.349700852 + j -5.158804815
[ 247, 246] = -0.4622916334 + j  1.215082939
[ 248, 246] = -0.8573549893 + j   1.54598951
[ 247, 247] =   2.453920667 + j -5.239584293
[ 248, 247] =  -1.102735748 + j  1.736149906
[ 248, 248] =   2.829218081 + j -5.483767921
[ 249, 249] =   25.17833371 + j -25.68481331
[ 250, 249] =  -3.349667456 + j  3.417048397
[ 251, 249] =   -15.4084703 + j  15.71842263
[ 250, 250] =   3.353139678 + j -3.418784237
[ 251, 251] =   19.08062592 + j -19.46264001
[ 252, 251] =  -3.668683404 + j  3.742481578
[ 252, 252] =   9.601962579 + j -9.791500562
[ 253, 252] =   -5.92633473 + j  6.045547164
[ 253, 253] =   5.929806952 + j -6.047283122
[ 254, 254] =   1000006.266 + j -13.75681409
[ 255, 254] =  -2.286279972 + j  4.122638901
[ 256, 254] =  -1.232777689 + j  3.240221268
[ 255, 255] =   1000007.545 + j -14.62338249
[ 256, 255] =  -2.940628663 + j  4.629733376
[ 256, 256] =   1000006.544 + j -13.97222604
[ 257, 257] =   1000006.135 + j -13.09896188
[ 258, 257] =  -2.756839371 + j  4.340375033
[ 259, 257] =  -1.155729083 + j  3.037707437
[ 258, 258] =   1000007.073 + j -13.70942105
[ 259, 258] =  -2.143387473 + j  3.864973965
[ 259, 259] =   1000005.874 + j -12.89701318
[ 260, 260] =   10.15536421 + j  -3159.13255
[ 261, 260] =  -1.320833238 + j  3.471665647
[ 262, 260] =  -3.150673567 + j  4.960428623
[ 266, 260] =  -3.301370423 + j  3301.370423
[ 261, 261] =   10.09480721 + j -3396.115643
[ 262, 261] =  -2.449585684 + j  4.417113113
[ 267, 261] =  -3.423643402 + j  3423.643402
[ 262, 262] =   11.34301511 + j -3275.202785
[ 268, 262] =   -3.36139534 + j   3361.39534
[ 263, 263] =   1000009.399 + j -20.63522131
[ 264, 263] =  -1.849166533 + j  4.860331915
[ 265, 263] =  -3.429419957 + j   6.18395838
[ 264, 264] =   1000009.816 + j -20.95833923
[ 265, 264] =  -4.410942994 + j  6.944600103
[ 265, 265] =   1000011.317 + j -21.93507392
[ 266, 266] =   1000003.466 + j -3466.438945
[ 267, 267] =   1000003.466 + j -3466.438945
[ 268, 268] =   1000003.466 + j -3466.438945
[ 269, 269] =   1000000.081 + j-0.1744194898
[ 270, 269] = -0.04071923552 + j0.08720970127
[ 271, 269] = -0.04071923552 + j0.08720970127
[ 276, 269] = -0.7058000823 + j  1.511634822
[ 277, 269] =  0.3529000412 + j -0.755817411
[ 278, 269] =  0.3529000412 + j -0.755817411
